# Time	MagPro_X100	MagPro_X100_fit
-2.000000000000000164e-05	1.492203047484080575e-03	0.000000000000000000e+00
-1.990000000000000259e-05	9.942700519600124708e-04	0.000000000000000000e+00
-1.980000000000000355e-05	4.963370564359443661e-04	0.000000000000000000e+00
-1.970000000000000451e-05	-1.595939088123738553e-06	0.000000000000000000e+00
-1.960000000000000547e-05	-4.995289346121918432e-04	0.000000000000000000e+00
-1.950000000000000642e-05	-9.974619301362599479e-04	0.000000000000000000e+00
-1.940000000000000738e-05	-1.595939088427315161e-06	0.000000000000000000e+00
-1.930000000000000834e-05	9.942700519597084605e-04	0.000000000000000000e+00
-1.920000000000000930e-05	1.990136043007844670e-03	0.000000000000000000e+00
-1.910000000000001025e-05	2.986002034055980879e-03	0.000000000000000000e+00
-1.900000000000001121e-05	3.981868025104117088e-03	0.000000000000000000e+00
-1.890000000000001217e-05	3.483935029580402867e-03	0.000000000000000000e+00
-1.880000000000001313e-05	2.986002034056334763e-03	0.000000000000000000e+00
-1.870000000000001408e-05	2.488069038532267092e-03	0.000000000000000000e+00
-1.860000000000001504e-05	1.990136043008198987e-03	0.000000000000000000e+00
-1.850000000000001600e-05	1.492203047484130882e-03	0.000000000000000000e+00
-1.840000000000001696e-05	1.990136043007928804e-03	0.000000000000000000e+00
-1.830000000000001791e-05	2.488069038531996909e-03	0.000000000000000000e+00
-1.820000000000001887e-05	2.986002034056065013e-03	0.000000000000000000e+00
-1.810000000000001983e-05	3.483935029580133118e-03	0.000000000000000000e+00
-1.800000000000002078e-05	3.981868025104201222e-03	0.000000000000000000e+00
-1.790000000000002174e-05	3.483935029580436694e-03	0.000000000000000000e+00
-1.780000000000002270e-05	2.986002034056368590e-03	0.000000000000000000e+00
-1.770000000000002366e-05	2.488069038532300485e-03	0.000000000000000000e+00
-1.760000000000002461e-05	1.990136043008232814e-03	0.000000000000000000e+00
-1.750000000000002557e-05	1.492203047484164709e-03	0.000000000000000000e+00
-1.740000000000002653e-05	1.990136043007895410e-03	0.000000000000000000e+00
-1.730000000000002749e-05	2.488069038531963081e-03	0.000000000000000000e+00
-1.720000000000002844e-05	2.986002034056031186e-03	0.000000000000000000e+00
-1.710000000000002940e-05	3.483935029580099291e-03	0.000000000000000000e+00
-1.700000000000003036e-05	3.981868025104167395e-03	0.000000000000000000e+00
-1.690000000000003132e-05	3.483935029580483966e-03	0.000000000000000000e+00
-1.680000000000003227e-05	2.986002034056429305e-03	0.000000000000000000e+00
-1.670000000000003323e-05	2.488069038532375078e-03	0.000000000000000000e+00
-1.660000000000003419e-05	1.990136043008320418e-03	0.000000000000000000e+00
-1.650000000000003515e-05	1.492203047484265757e-03	0.000000000000000000e+00
-1.640000000000003610e-05	1.492203047483996008e-03	0.000000000000000000e+00
-1.630000000000003706e-05	1.492203047483996008e-03	0.000000000000000000e+00
-1.620000000000003802e-05	1.492203047483996008e-03	0.000000000000000000e+00
-1.610000000000003898e-05	1.492203047483996008e-03	0.000000000000000000e+00
-1.600000000000003993e-05	1.492203047483996008e-03	0.000000000000000000e+00
-1.590000000000004089e-05	1.492203047483996008e-03	0.000000000000000000e+00
-1.580000000000004185e-05	1.492203047483996008e-03	0.000000000000000000e+00
-1.570000000000004281e-05	1.492203047483996224e-03	0.000000000000000000e+00
-1.560000000000004376e-05	1.492203047483996224e-03	0.000000000000000000e+00
-1.550000000000004472e-05	1.492203047483996224e-03	0.000000000000000000e+00
-1.540000000000004568e-05	1.492203047483996224e-03	0.000000000000000000e+00
-1.530000000000004664e-05	1.492203047483996224e-03	0.000000000000000000e+00
-1.520000000000004759e-05	1.492203047483996224e-03	0.000000000000000000e+00
-1.510000000000004855e-05	1.492203047483996224e-03	0.000000000000000000e+00
-1.500000000000004951e-05	1.492203047483996224e-03	0.000000000000000000e+00
-1.490000000000005047e-05	1.492203047483996224e-03	0.000000000000000000e+00
-1.480000000000005142e-05	1.492203047483996224e-03	0.000000000000000000e+00
-1.470000000000005238e-05	1.492203047483996008e-03	0.000000000000000000e+00
-1.460000000000005334e-05	1.492203047483996008e-03	0.000000000000000000e+00
-1.450000000000005430e-05	1.492203047483996008e-03	0.000000000000000000e+00
-1.440000000000005525e-05	1.492203047483996008e-03	0.000000000000000000e+00
-1.430000000000005621e-05	1.492203047483996008e-03	0.000000000000000000e+00
-1.420000000000005717e-05	1.492203047483996008e-03	0.000000000000000000e+00
