# Time	DuoMAG_DM-XT	DuoMAG_DM-XT_fit
-2.000000000000000164e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.990000000000000259e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.980000000000000355e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.970000000000000451e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.960000000000000547e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.950000000000000642e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.940000000000000738e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.930000000000000834e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.920000000000000930e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.910000000000001025e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.900000000000001121e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.890000000000001217e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.880000000000001313e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.870000000000001408e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.860000000000001504e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.850000000000001600e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.840000000000001696e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.830000000000001791e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.820000000000001887e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.810000000000001983e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.800000000000002078e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.790000000000002174e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.780000000000002270e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.770000000000002366e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.760000000000002461e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.750000000000002557e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.740000000000002653e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.730000000000002749e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.720000000000002844e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.710000000000002940e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.700000000000003036e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.690000000000003132e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.680000000000003227e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.670000000000003323e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.660000000000003419e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.650000000000003515e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.640000000000003610e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.630000000000003706e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.620000000000003802e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.610000000000003898e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.600000000000003993e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.590000000000004089e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.580000000000004185e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.570000000000004281e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.560000000000004376e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.550000000000004472e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.540000000000004568e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.530000000000004664e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.520000000000004759e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.510000000000004855e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.500000000000004951e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.490000000000005047e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.480000000000005142e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.470000000000005238e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.460000000000005334e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.450000000000005430e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.440000000000005525e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.430000000000005621e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.420000000000005717e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.410000000000005812e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.400000000000005908e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.390000000000006004e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.380000000000006100e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.370000000000006195e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.360000000000006291e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.350000000000006387e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.340000000000006483e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.330000000000006578e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.320000000000006674e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.310000000000006770e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.300000000000006866e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.290000000000006961e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.280000000000007057e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.270000000000007153e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.260000000000007249e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.250000000000007344e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.240000000000007440e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.230000000000007536e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.220000000000007632e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.210000000000007727e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.200000000000007823e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.190000000000007919e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.180000000000008015e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.170000000000008110e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.160000000000008206e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.150000000000008302e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.140000000000008398e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.130000000000008493e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.120000000000008589e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.110000000000008685e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.100000000000008781e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.090000000000008876e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.080000000000008972e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.070000000000009068e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.060000000000009164e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.050000000000009259e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.040000000000009355e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.030000000000009451e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.020000000000009546e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.010000000000009642e-05	0.000000000000000000e+00	0.000000000000000000e+00
-1.000000000000009738e-05	0.000000000000000000e+00	0.000000000000000000e+00
-9.900000000000098337e-06	0.000000000000000000e+00	0.000000000000000000e+00
-9.800000000000099295e-06	0.000000000000000000e+00	0.000000000000000000e+00
-9.700000000000100252e-06	0.000000000000000000e+00	0.000000000000000000e+00
-9.600000000000101210e-06	0.000000000000000000e+00	0.000000000000000000e+00
-9.500000000000102167e-06	0.000000000000000000e+00	0.000000000000000000e+00
-9.400000000000103124e-06	0.000000000000000000e+00	0.000000000000000000e+00
-9.300000000000104082e-06	0.000000000000000000e+00	0.000000000000000000e+00
-9.200000000000105039e-06	0.000000000000000000e+00	0.000000000000000000e+00
-9.100000000000105997e-06	0.000000000000000000e+00	0.000000000000000000e+00
-9.000000000000106954e-06	0.000000000000000000e+00	0.000000000000000000e+00
-8.900000000000107912e-06	0.000000000000000000e+00	0.000000000000000000e+00
-8.800000000000108869e-06	0.000000000000000000e+00	0.000000000000000000e+00
-8.700000000000109826e-06	0.000000000000000000e+00	0.000000000000000000e+00
-8.600000000000110784e-06	0.000000000000000000e+00	0.000000000000000000e+00
-8.500000000000111741e-06	0.000000000000000000e+00	0.000000000000000000e+00
-8.400000000000112699e-06	0.000000000000000000e+00	0.000000000000000000e+00
-8.300000000000113656e-06	0.000000000000000000e+00	0.000000000000000000e+00
-8.200000000000114614e-06	0.000000000000000000e+00	0.000000000000000000e+00
-8.100000000000115571e-06	0.000000000000000000e+00	0.000000000000000000e+00
-8.000000000000116529e-06	0.000000000000000000e+00	0.000000000000000000e+00
-7.900000000000117486e-06	0.000000000000000000e+00	0.000000000000000000e+00
-7.800000000000118443e-06	0.000000000000000000e+00	0.000000000000000000e+00
-7.700000000000119401e-06	0.000000000000000000e+00	0.000000000000000000e+00
-7.600000000000120358e-06	0.000000000000000000e+00	0.000000000000000000e+00
-7.500000000000121316e-06	0.000000000000000000e+00	0.000000000000000000e+00
-7.400000000000122273e-06	0.000000000000000000e+00	0.000000000000000000e+00
-7.300000000000123231e-06	0.000000000000000000e+00	0.000000000000000000e+00
-7.200000000000124188e-06	0.000000000000000000e+00	0.000000000000000000e+00
-7.100000000000125145e-06	0.000000000000000000e+00	0.000000000000000000e+00
-7.000000000000126103e-06	0.000000000000000000e+00	0.000000000000000000e+00
-6.900000000000127060e-06	0.000000000000000000e+00	0.000000000000000000e+00
-6.800000000000128018e-06	0.000000000000000000e+00	0.000000000000000000e+00
-6.700000000000128975e-06	0.000000000000000000e+00	0.000000000000000000e+00
-6.600000000000129933e-06	0.000000000000000000e+00	0.000000000000000000e+00
-6.500000000000130890e-06	0.000000000000000000e+00	0.000000000000000000e+00
-6.400000000000131848e-06	0.000000000000000000e+00	0.000000000000000000e+00
-6.300000000000132805e-06	0.000000000000000000e+00	0.000000000000000000e+00
-6.200000000000133762e-06	0.000000000000000000e+00	0.000000000000000000e+00
-6.100000000000134720e-06	0.000000000000000000e+00	0.000000000000000000e+00
-6.000000000000135677e-06	0.000000000000000000e+00	0.000000000000000000e+00
-5.900000000000136635e-06	0.000000000000000000e+00	0.000000000000000000e+00
-5.800000000000137592e-06	0.000000000000000000e+00	0.000000000000000000e+00
-5.700000000000138550e-06	0.000000000000000000e+00	0.000000000000000000e+00
-5.600000000000139507e-06	0.000000000000000000e+00	0.000000000000000000e+00
-5.500000000000140464e-06	0.000000000000000000e+00	0.000000000000000000e+00
-5.400000000000141422e-06	0.000000000000000000e+00	0.000000000000000000e+00
-5.300000000000142379e-06	0.000000000000000000e+00	0.000000000000000000e+00
-5.200000000000143337e-06	0.000000000000000000e+00	0.000000000000000000e+00
-5.100000000000144294e-06	0.000000000000000000e+00	0.000000000000000000e+00
-5.000000000000145252e-06	0.000000000000000000e+00	0.000000000000000000e+00
-4.900000000000146209e-06	0.000000000000000000e+00	0.000000000000000000e+00
-4.800000000000147167e-06	0.000000000000000000e+00	0.000000000000000000e+00
-4.700000000000148124e-06	0.000000000000000000e+00	0.000000000000000000e+00
-4.600000000000149081e-06	0.000000000000000000e+00	0.000000000000000000e+00
-4.500000000000150039e-06	0.000000000000000000e+00	0.000000000000000000e+00
-4.400000000000150996e-06	0.000000000000000000e+00	0.000000000000000000e+00
-4.300000000000151954e-06	0.000000000000000000e+00	0.000000000000000000e+00
-4.200000000000152911e-06	0.000000000000000000e+00	0.000000000000000000e+00
-4.100000000000153869e-06	0.000000000000000000e+00	0.000000000000000000e+00
-4.000000000000154826e-06	0.000000000000000000e+00	0.000000000000000000e+00
-3.900000000000155783e-06	0.000000000000000000e+00	0.000000000000000000e+00
-3.800000000000156741e-06	0.000000000000000000e+00	0.000000000000000000e+00
-3.700000000000157698e-06	0.000000000000000000e+00	0.000000000000000000e+00
-3.600000000000158656e-06	0.000000000000000000e+00	0.000000000000000000e+00
-3.500000000000159613e-06	0.000000000000000000e+00	0.000000000000000000e+00
-3.400000000000160571e-06	0.000000000000000000e+00	0.000000000000000000e+00
-3.300000000000161528e-06	0.000000000000000000e+00	0.000000000000000000e+00
-3.200000000000162486e-06	0.000000000000000000e+00	0.000000000000000000e+00
-3.100000000000163443e-06	0.000000000000000000e+00	0.000000000000000000e+00
-3.000000000000164400e-06	0.000000000000000000e+00	0.000000000000000000e+00
-2.900000000000165358e-06	0.000000000000000000e+00	0.000000000000000000e+00
