ReferenceElectrode,0.4542582197863464,4.947736484350895,93.63878395099711,reference
Electrode,1.6865869345034532,-13.729445960992331,98.26390690517681,1
Electrode,1.3164962028964857,23.266726621011884,86.80998148691853,2
Electrode,32.928882864117355,2.613492230498035,85.82772218652504,3
Electrode,33.66375115042603,-36.700285669745895,92.28751382835772,4
Electrode,1.1450826501093891,-53.413565432804226,96.72728297743294,5
Electrode,-29.13610456322531,-32.73193394341294,93.65562932776233,6
Electrode,-29.257237087544638,4.852010365067295,86.49907284487723,7
Electrode,0.6826266954612523,55.088060024987705,67.81723233935675,8
Electrode,36.29905182350928,41.10119471397373,66.5284898334278,9
Electrode,57.67161090582952,11.956293780228602,64.38907379805102,10
Electrode,66.83169476518802,-22.276065816636986,66.92748012482835,11
Electrode,57.44353896097588,-54.36227688341221,73.1470990801359,12
Electrode,33.85938364239702,-78.88071766057772,75.75955241739861,13
Electrode,0.6630271421988188,-85.7261484861272,77.26038153601291,14
Electrode,-31.893099975086432,-77.66774488963934,77.98488018847455,15
Electrode,-56.55913561330406,-52.01531028902368,74.90322381623719,16
Electrode,-63.43783486037842,-18.158866380282962,68.7156816285436,17
Electrode,-55.937958735856135,13.89486327012235,63.33578679743353,18
Electrode,-33.78182269301481,43.07934454392499,64.51551331281708,19
Electrode,2.204976583509043,77.02184433152487,38.65190966006557,20
Electrode,38.03851607786012,67.02754075267154,36.223906039054455,21
Electrode,65.70396337962,35.26772079722432,31.24887242462392,22
Electrode,76.95311857034844,4.530119632897046,32.30228917901364,23
Electrode,81.13976227008898,-31.201418754311227,36.17188359730781,24
Electrode,71.67966609607276,-64.54197740322513,40.22748104785779,25
Electrode,51.952720817153384,-89.367392719562,45.37795928024296,26
Electrode,17.235764078709273,-104.93573560671346,44.5618292273289,27
Electrode,-20.242791413948883,-103.97329063978533,46.38442355730204,28
Electrode,-52.675628512105504,-89.016108986277,46.790329037554365,29
Electrode,-73.10899660864477,-59.45173980798079,44.43676552227751,30
Electrode,-79.82368223109634,-24.24628948146588,39.359253955539025,31
Electrode,-73.52442256050261,10.815713041042386,33.233380214098545,32
Electrode,-58.01483099557333,45.42153924829535,30.971172954170957,41
Electrode,-33.202394034864184,69.67578371991279,33.952268356265975,42
Electrode,-0.19694094235198212,84.83468021636172,8.658331466170603,43
Electrode,37.27764316997185,76.2683456271771,4.9849957918933505,44
Electrode,64.16586997000422,49.261490859247175,-1.9510553602726337,45
Electrode,76.61237245204414,17.232452247754768,-1.5671797332955981,46
Electrode,83.28809559065436,-18.13337376347416,-1.4026602301040685,47
Electrode,79.16068737065888,-53.48048932173823,2.779738637069203,48
Electrode,63.388521701545976,-87.41855595274065,6.635627886756877,49
Electrode,42.786458805379745,-105.63974059246353,11.149952368447147,50
Electrode,-2.344934597629199,-117.1285902581717,8.591064512091458,51
Electrode,-44.58399909135478,-105.23741708511824,11.168769836912414,52
Electrode,-65.43577858326007,-86.22632769958463,10.19201445224627,53
Electrode,-79.51008768988083,-52.82074429505017,7.3971641415527944,54
Electrode,-82.42418652884112,-17.68621356581546,2.810457239658371,55
Electrode,-75.24230024415778,17.310005726909313,0.2859864394923314,56
Electrode,-62.00766215839251,51.215771979518806,-2.365920863196764,57
Electrode,-34.37828060538568,76.56939893186276,0.6452463412557463,58
Electrode,73.7815820199592,29.149723378650936,-35.97883468430368,59
Electrode,79.22781766131789,-5.398070741382683,-36.42295049378569,60
Electrode,77.80485673261633,-52.37730846205264,-27.851953288037,61
Electrode,62.34390965247199,-85.36421475933733,-27.158449505618147,62
Electrode,33.01919743868483,-109.36651267242189,-24.97879515750249,63
Electrode,0.6663158624806593,-116.13178175893066,-25.805484292635416,64
Electrode,-33.42154198572054,-109.45235537630214,-24.30504946260149,65
Electrode,-63.084902242462235,-84.87919809630817,-25.375996075369404,66
Electrode,-77.57715294199843,-53.09611566572599,-26.390425768067058,67
Electrode,-79.40085972212538,-10.062553539358145,-33.7900979923034,68
Electrode,-73.26402184092396,27.082179193655776,-35.495452338902304,69
Electrode,-77.8426017974088,0.40542827391850955,-66.0192118503582,70
Electrode,78.58858596229032,2.1881525157193744,-66.67326300410552,71
