Electrode,-85.3,-32.9,-40.5,TTP9h
Electrode,-84,-33.3,1.8,TTP7h
Electrode,-78.9,-37.3,44.9,CCP5h
Electrode,-53.5,-40.2,80.3,CCP3h
Electrode,-16.6,-42.1,97.8,CCP1h
Electrode,23,-42.4,96.1,CCP2h
Electrode,59,-41.4,75.4,CCP4h
Electrode,81.1,-38.3,38.4,CCP6h
Electrode,85,-34.6,-4.9,TTP8h
Electrode,85.9,-37.5,-46.3,TTP10h
Electrode,-75.3,-57.8,-42.2,TPP9h
Electrode,-76.5,-63.4,-2,TPP7h
Electrode,-70.7,-71.5,36.2,CPP5h
Electrode,-47.9,-77.6,68.3,CPP3h
Electrode,-14.3,-79.1,82.8,CPP1h
Electrode,21.3,-78.7,81.5,CPP2h
Electrode,53,-76.7,63,CPP4h
Electrode,71.5,-71,29.9,CPP6h
Electrode,76.2,-64.3,-8.3,TPP8h
Electrode,74.6,-60,-48.6,TPP10h
Electrode,-61.1,-83.2,-41.8,PPO9h
Electrode,-63,-89.8,-7.2,PPO7h
Electrode,-55.1,-96.8,19.3,PPO5h
Electrode,-36.7,-102.9,39.6,PPO3h
Electrode,-11.4,-104.6,49.4,PPO1h
Electrode,15.2,-103.9,49.3,PPO2h
Electrode,39.3,-101.9,37,PPO4h
Electrode,55.1,-96.8,14.4,PPO6h
Electrode,61.6,-90.4,-12.3,PPO8h
Electrode,59.5,-85,-47,PPO10h
Electrode,-41.2,-103,-39.8,POO9h
Electrode,-40.1,-108.9,-12.5,POO7h
Electrode,-32.7,-113.4,-1,POO5h
Electrode,-20.5,-117,6.1,POO3h
Electrode,-7.1,-118.2,9.1,POO1h
Electrode,7.1,-118.2,7.3,POO2h
Electrode,20.8,-116.7,3.5,POO4h
Electrode,32,-113.1,-4.5,POO6h
Electrode,39.3,-108.6,-15.5,POO8h
Electrode,39.2,-104,-43.5,POO10h
Electrode,-15.1,-113.7,-35.7,OI1h
Electrode,13.3,-113.8,-36.8,OI2h
Electrode,-14.4,84.5,2.6,Fp1h
Electrode,15.6,84.9,1.5,Fp2h
Electrode,-54.2,66.5,-27.3,AF9h
Electrode,-49.2,66.7,3.9,AF7h
Electrode,-39.5,71.3,21.8,AF5h
Electrode,-25.9,72.2,37.8,AF3h
Electrode,-7.9,73.7,45.3,AF1h
Electrode,11.9,73.6,44.8,AF2h
Electrode,29.9,72.6,36.1,AF4h
Electrode,42.6,71.5,18.9,AF6h
Electrode,51.1,66.9,-0.1,AF8h
Electrode,54.6,65.9,-31.5,AF10h
Electrode,-68.3,40.5,-32.4,F9h
Electrode,-66.9,42.2,5.5,F7h
Electrode,-56.7,44.4,35.9,F5h
Electrode,-37.4,45.6,60,F3h
Electrode,-11.2,47.1,72.9,F1h
Electrode,17.4,46.9,72.1,F2h
Electrode,43.4,46.7,56.8,F4h
Electrode,61.3,45.1,30.2,F6h
Electrode,69.1,41.6,-0.6,F8h
Electrode,69.5,39.6,-38.5,F10h
Electrode,-76.8,14.7,-37.6,FT9h
Electrode,-76.7,13.2,5.3,FT7h
Electrode,-69.1,13.7,43.4,FC5h
Electrode,-45.7,13.8,73.2,FC3h
Electrode,-14,12.9,89.5,FC1h
Electrode,19.5,13,87.7,FC2h
Electrode,51.4,13.9,69.8,FC4h
Electrode,73.7,13.2,37.9,FC6h
Electrode,78.5,12.2,-1.4,FT8h
Electrode,78.8,12.6,-43.8,FT10h
